GU,Date,offense,Count
TIBULOY,2021-03-01,DRUG-RELATED,23
BUDA,2021-03-01,CARNAPPING,11
BINUGAO,2021-03-01,ROBBERY,14
TALOMO RIVER,2021-03-01,DRUG-RELATED,1
SALAPAWAN,2021-03-01,BURGLARY,14
CATALUNAN GRANDE,2021-03-01,MURDER,24
FATIMA,2021-03-01,DRUG-RELATED,3
GUMALANG,2021-03-01,ILLEGAL GAMBLING,12
PANALUM,2021-04-01,MURDER,3
ALFONSO ANGLIONGTO SR,2021-04-01,HOMICIDE,17
BARANGAY 14-B,2021-04-01,ILLEGAL POSSESSION OF FIREARMS,8
TALOMO RIVER,2021-04-01,BURGLARY,20
MANDUG,2021-04-01,DRUG-RELATED,8
BARANGAY 20-B,2021-04-01,ILLEGAL POSSESSION OF FIREARMS,21
CENTRO SAN JUAN,2021-04-01,DRUG-RELATED,10
CATALUNAN GRANDE,2021-04-01,VANDALISM,16
40-D BOLTON ISLA,2021-04-01,RAPE,6
BARANGAY 28-C,2021-04-01,DRUG-RELATED,2
MALABOG,2021-04-01,RAPE,6
SUAWAN,2021-04-01,CHILD ABUSE,21
SASA,2021-04-01,DRUG-RELATED,5
ALFONSO ANGLIONGTO SR,2021-04-01,PHYSICAL INJURY,23
BAGO OSHIRO,2021-04-01,RAPE,12
ALAMBRE,2021-04-01,ROBBERY,15
CABANTIAN,2021-04-01,ROBBERY,23
CARMEN,2021-04-01,VANDALISM,3
BARANGAY 17-B,2021-04-01,PHYSICAL INJURY,9
BAO JOAQUIN,2021-04-01,BURGLARY,23
40-D BOLTON ISLA,2021-04-01,HOMICIDE,21
TOMAS MONTEVERDE,2021-04-01,DRUG-RELATED,5
BARANGAY 26-C,2021-04-01,THEFT,21
LIZADA,2021-04-01,HOMICIDE,22
CABANTIAN,2021-04-01,CHILD ABUSE,10
AGDAO PROPER,2021-04-01,CHILD ABUSE,21
TALANDANG,2021-04-01,PHYSICAL INJURY,8
MAHAYAG,2021-04-01,HOMICIDE,19
SALAPAWAN,2021-04-01,PHYSICAL INJURY,6
BAYABAS,2021-04-01,ILLEGAL GAMBLING,21
MAPI-ILA,2021-04-01,THEFT,19
TAGURANO,2021-04-01,BURGLARY,22
74-A MATINA CROSSING,2021-04-01,THEFT,7
BAGUIO PROPER,2021-04-01,BURGLARY,16
MARAPANGI,2021-04-01,CHILD ABUSE,2
TACUNAN,2021-04-01,THEFT,10
BARANGAY 10-A,2021-04-01,ROBBERY,23
CARMEN,2021-04-01,PHYSICAL INJURY,5
VICENTE HIZON,2021-04-01,DRUG-RELATED,6
BARANGAY 19-B,2021-04-01,THEFT,16
MANUEL GUIANGA,2021-04-01,DRUG-RELATED,16
SUAWAN,2021-04-01,DRUG-RELATED,6
MANUEL GUIANGA,2021-04-01,VANDALISM,4
FATIMA,2021-04-01,ILLEGAL GAMBLING,22
BARANGAY 8-A,2021-04-01,ILLEGAL GAMBLING,14
SALUMAY,2021-04-01,DRUG-RELATED,17
BINUGAO,2021-04-01,CHILD ABUSE,8
BAYABAS,2021-04-01,VANDALISM,4
BALENGAENG,2021-04-01,RAPE,11
BARANGAY 26-C,2021-04-01,DRUG-RELATED,18
BARANGAY 8-A,2021-04-01,CHILD ABUSE,4
BARANGAY 5-A,2021-04-01,CHILD ABUSE,3
ALAMBRE,2021-04-01,THEFT,20
SALAPAWAN,2021-04-01,RAPE,3
MAPI-ILA,2021-04-01,RAPE,14
BARANGAY 11-A,2021-04-01,CHILD ABUSE,7
BAGO APLAYA,2021-04-01,DRUG-RELATED,13
FATIMA,2021-04-01,CHILD ABUSE,23
TIBUNGCO,2021-04-01,ILLEGAL GAMBLING,24
MALAGOS,2021-04-01,CHILD ABUSE,11
MAA,2021-04-01,BURGLARY,15
SUBASTA,2021-04-01,RAPE,2
MULIG,2021-04-01,CARNAPPING,10
BARANGAY 32-D,2021-04-01,THEFT,22
BAGANIHAN,2021-04-01,RAPE,6
PAMPANGA,2021-04-01,HOMICIDE,1
INDANGAN,2021-04-01,THEFT,1
SAN ISIDRO,2021-04-01,CARNAPPING,15
TOMAS MONTEVERDE,2021-04-01,THEFT,17
BUNAWAN,2021-04-01,CARNAPPING,11
BUDA,2021-05-01,RAPE,11
74-A MATINA CROSSING,2021-05-01,ROBBERY,12
PANALUM,2021-05-01,DRUG-RELATED,15
AQUINO,2021-05-01,CHILD ABUSE,18
MANUEL GUIANGA,2021-05-01,DRUG-RELATED,21
PANALUM,2021-05-01,ILLEGAL POSSESSION OF FIREARMS,10
BAGO GALLERA,2021-05-01,CARNAPPING,20
MAHAYAG,2021-05-01,ILLEGAL GAMBLING,14
LASANG,2021-05-01,HOMICIDE,9
SASA,2021-05-01,DRUG-RELATED,20
SUAWAN,2021-05-01,CHILD ABUSE,10
CATIGAN,2021-05-01,CARNAPPING,6
BARANGAY 3-A,2021-05-01,THEFT,21
DUTERTE,2021-05-01,ILLEGAL POSSESSION OF FIREARMS,3
LACSON,2021-05-01,ROBBERY,2
SIRIB,2021-05-01,HOMICIDE,19
MATINA APLAYA,2021-05-01,ILLEGAL GAMBLING,17
CARMEN,2021-05-01,MURDER,7
AQUINO,2021-05-01,DRUG-RELATED,21
BARANGAY 39-D,2021-05-01,CHILD ABUSE,12
MINTAL,2021-05-01,HOMICIDE,17
PANALUM,2021-05-01,PHYSICAL INJURY,11
ANGALAN,2021-05-01,ROBBERY,14
BARANGAY 3-A,2021-05-01,DRUG-RELATED,10
BAGO GALLERA,2021-05-01,DRUG-RELATED,8
BARANGAY 18-B,2021-05-01,ILLEGAL POSSESSION OF FIREARMS,20
BAGO OSHIRO,2021-05-01,BURGLARY,7
CAWAYAN,2021-05-01,BURGLARY,10
LUBOGAN,2021-05-01,PHYSICAL INJURY,7
TOMAS MONTEVERDE,2021-05-01,ROBBERY,24
MINTAL,2021-05-01,VANDALISM,12
BARANGAY 3-A,2021-05-01,VANDALISM,1
BARANGAY 5-A,2021-05-01,ILLEGAL GAMBLING,7
CATIGAN,2021-05-01,CARNAPPING,7
PAQUIBATO,2021-05-01,BURGLARY,13
TALOMO,2021-05-01,MURDER,21
SALOY,2021-05-01,MURDER,8
MATINA APLAYA,2021-05-01,ROBBERY,8
SALAPAWAN,2021-05-01,HOMICIDE,5
PAQUIBATO,2021-05-01,BURGLARY,7
BARANGAY 23-C,2021-05-01,MURDER,13
TALOMO RIVER,2021-05-01,ILLEGAL GAMBLING,4
RIVERSIDE,2021-05-01,DRUG-RELATED,13
BARANGAY 3-A,2021-05-01,ILLEGAL GAMBLING,12
MATINA APLAYA,2021-05-01,ROBBERY,5
MAA,2021-05-01,HOMICIDE,2
NEW VALENCIA,2021-05-01,RAPE,3
WAAN,2021-05-01,ILLEGAL GAMBLING,11
LIZADA,2021-05-01,RAPE,16
MABUHAY,2021-05-01,MURDER,16
MABUHAY,2021-05-01,THEFT,12
CABANTIAN,2021-05-01,ILLEGAL GAMBLING,4
TAMBOBONG,2021-05-01,ROBBERY,18
BAO JOAQUIN,2021-05-01,ILLEGAL POSSESSION OF FIREARMS,21
SALAYSAY,2021-05-01,ILLEGAL GAMBLING,3
EDEN,2021-05-01,RAPE,17
MAHAYAG,2021-05-01,ILLEGAL POSSESSION OF FIREARMS,17
BARANGAY 39-D,2021-05-01,VANDALISM,18
ILANG,2021-05-01,BURGLARY,6
SALUMAY,2021-05-01,RAPE,11
BINUGAO,2021-05-01,DRUG-RELATED,13
BAGO OSHIRO,2021-05-01,DRUG-RELATED,14
BARANGAY 38-D,2021-05-01,PHYSICAL INJURY,4
SIRIB,2021-05-01,MURDER,1
MABUHAY,2021-05-01,THEFT,18
ALFONSO ANGLIONGTO SR,2021-05-01,ILLEGAL POSSESSION OF FIREARMS,3
MATINA PANGI,2021-05-01,CHILD ABUSE,5
CARMEN,2021-05-01,ILLEGAL GAMBLING,19
BARANGAY 23-C,2021-05-01,ROBBERY,22
PAQUIBATO,2021-05-01,MURDER,7
TAMUGAN,2021-06-01,CARNAPPING,22
MAGTUOD,2021-06-01,MURDER,22
MANDUG,2021-06-01,MURDER,7
BARANGAY 5-A,2021-06-01,CARNAPPING,7
MAPI-ILA,2021-06-01,VANDALISM,6
SUAWAN,2021-06-01,THEFT,2
MINTAL,2021-06-01,HOMICIDE,13
DUTERTE,2021-06-01,THEFT,21
BARANGAY 13-B,2021-06-01,RAPE,23
BARANGAY 2-A,2021-06-01,ILLEGAL POSSESSION OF FIREARMS,19
LOS AMIGOS,2021-06-01,ROBBERY,13
CATIGAN,2021-06-01,ILLEGAL GAMBLING,9
BUHANGIN,2021-06-01,DRUG-RELATED,18
MATINA PANGI,2021-06-01,HOMICIDE,8
BAGO GALLERA,2021-06-01,CHILD ABUSE,16
SALAYSAY,2021-06-01,CHILD ABUSE,10
SASA,2021-06-01,THEFT,19
GUMITAN,2021-06-01,MURDER,19
LAPU-LAPU,2021-06-01,THEFT,8
SUAWAN,2021-06-01,MURDER,1
CARMEN,2021-06-01,VANDALISM,14
BANTOL,2021-06-01,VANDALISM,3
LAPU-LAPU,2021-06-01,CARNAPPING,20
BARANGAY 5-A,2021-06-01,RAPE,14
ALAMBRE,2021-06-01,ILLEGAL GAMBLING,17
AQUINO,2021-06-01,HOMICIDE,23
MANDUG,2021-06-01,RAPE,18
TALOMO RIVER,2021-06-01,ILLEGAL POSSESSION OF FIREARMS,18
ALFONSO ANGLIONGTO SR,2021-06-01,BURGLARY,5
MINTAL,2021-06-01,ILLEGAL POSSESSION OF FIREARMS,24
TALOMO,2021-06-01,CHILD ABUSE,4
BAO JOAQUIN,2021-06-01,DRUG-RELATED,1
TIBULOY,2021-06-01,BURGLARY,13
MANUEL GUIANGA,2021-06-01,CARNAPPING,5
BAGUIO PROPER,2021-06-01,ILLEGAL GAMBLING,13
TALOMO,2021-06-01,BURGLARY,23
BARANGAY 26-C,2021-06-01,RAPE,20
TALOMO RIVER,2021-06-01,PHYSICAL INJURY,11
BARANGAY 28-C,2021-06-01,RAPE,15
BARANGAY 28-C,2021-06-01,CARNAPPING,21
BARANGAY 28-C,2021-06-01,BURGLARY,19
BALIOK,2021-06-01,HOMICIDE,18
SUAWAN,2021-06-01,DRUG-RELATED,19
DALIAO,2021-06-01,CHILD ABUSE,11
BANTOL,2021-06-01,MURDER,5
TAGURANO,2021-06-01,PHYSICAL INJURY,2
SALAYSAY,2021-06-01,CARNAPPING,4
SALAPAWAN,2021-06-01,BURGLARY,11
PACIANO BANGOY,2021-06-01,ROBBERY,21
SALAPAWAN,2021-06-01,BURGLARY,16
MAGSAYSAY,2021-06-01,BURGLARY,2
BARANGAY 37-D,2021-06-01,ILLEGAL GAMBLING,10
FATIMA,2021-06-01,ILLEGAL GAMBLING,10
BARANGAY 20-B,2021-06-01,ROBBERY,20
76-A BUCANA,2021-06-01,THEFT,24
CATALUNAN GRANDE,2021-06-01,ILLEGAL POSSESSION OF FIREARMS,24
BUDA,2021-06-01,THEFT,6
TAMAYONG,2021-06-01,HOMICIDE,3
BANTOL,2021-06-01,ILLEGAL GAMBLING,16
BINUGAO,2021-06-01,BURGLARY,1
MAGTUOD,2021-06-01,DRUG-RELATED,6
SALAPAWAN,2021-06-01,PHYSICAL INJURY,12
PANACAN,2021-06-01,ROBBERY,10
MARILOG,2021-06-01,BURGLARY,15
ANGALAN,2021-06-01,ILLEGAL POSSESSION OF FIREARMS,23
CALINAN,2021-06-01,CARNAPPING,13
TOMAS MONTEVERDE,2021-06-01,MURDER,12
MAGSAYSAY,2021-06-01,PHYSICAL INJURY,17
LACSON,2021-06-01,RAPE,15
MANUEL GUIANGA,2021-06-01,HOMICIDE,23
BAGANIHAN,2021-07-01,ILLEGAL GAMBLING,17
WAAN,2021-07-01,RAPE,23
INDANGAN,2021-07-01,THEFT,2
SUAWAN,2021-07-01,VANDALISM,22
ULAS,2021-07-01,HOMICIDE,7
LIZADA,2021-07-01,PHYSICAL INJURY,4
CATALUNAN GRANDE,2021-07-01,RAPE,3
MINTAL,2021-07-01,HOMICIDE,14
MULIG,2021-07-01,ILLEGAL POSSESSION OF FIREARMS,14
TAMBOBONG,2021-07-01,VANDALISM,19
ILANG,2021-07-01,PHYSICAL INJURY,15
MATINA CROSSING,2021-07-01,ILLEGAL GAMBLING,1
PAQUIBATO,2021-07-01,PHYSICAL INJURY,4
MALAGOS,2021-07-01,ROBBERY,12
BARANGAY 8-A,2021-07-01,ILLEGAL GAMBLING,4
BALIOK,2021-07-01,THEFT,3
BARANGAY 9-A,2021-07-01,PHYSICAL INJURY,22
EDEN,2021-07-01,RAPE,16
MAPI-ILA,2021-07-01,ROBBERY,10
BAGO APLAYA,2021-07-01,BURGLARY,6
MARAPANGI,2021-07-01,CARNAPPING,16
74-A MATINA CROSSING,2021-07-01,HOMICIDE,12
PANALUM,2021-07-01,CHILD ABUSE,6
TALOMO,2021-07-01,CHILD ABUSE,15
MATINA APLAYA,2021-07-01,ILLEGAL POSSESSION OF FIREARMS,3
BARANGAY 9-A,2021-07-01,DRUG-RELATED,2
SALAPAWAN,2021-07-01,THEFT,11
BARANGAY 19-B,2021-07-01,PHYSICAL INJURY,22
BARANGAY 18-B,2021-07-01,CHILD ABUSE,22
MINTAL,2021-07-01,MURDER,19
BARANGAY 2-A,2021-07-01,ROBBERY,7
TAMAYONG,2021-07-01,CHILD ABUSE,14
ANGALAN,2021-07-01,CARNAPPING,3
BARANGAY 38-D,2021-07-01,CARNAPPING,22
DUTERTE,2021-07-01,PHYSICAL INJURY,21
LACSON,2021-07-01,ROBBERY,10
BINUGAO,2021-07-01,ILLEGAL GAMBLING,3
MULIG,2021-07-01,ILLEGAL GAMBLING,8
CABANTIAN,2021-07-01,MURDER,8
MARAPANGI,2021-07-01,ROBBERY,12
BARANGAY 3-A,2021-07-01,CHILD ABUSE,2
MATINA APLAYA,2021-07-01,CHILD ABUSE,3
SIRIB,2021-07-01,BURGLARY,2
WANGAN,2021-07-01,THEFT,14
BUNAWAN,2021-07-01,RAPE,8
DUMOY,2021-07-01,ILLEGAL GAMBLING,24
BARANGAY 10-A,2021-07-01,THEFT,7
ALFONSO ANGLIONGTO SR,2021-07-01,CARNAPPING,16
TAGURANO,2021-07-01,CARNAPPING,19
BARANGAY 8-A,2021-07-01,DRUG-RELATED,17
GUMALANG,2021-07-01,PHYSICAL INJURY,5
LAPU-LAPU,2021-07-01,CHILD ABUSE,22
MARAPANGI,2021-07-01,THEFT,21
MAGTUOD,2021-07-01,VANDALISM,9
BANTOL,2021-07-01,PHYSICAL INJURY,13
SANTO NINO,2021-07-01,MURDER,4
WAAN,2021-07-01,ROBBERY,12
VICENTE HIZON,2021-07-01,BURGLARY,4
BARANGAY 5-A,2021-07-01,BURGLARY,18
PACIANO BANGOY,2021-07-01,THEFT,23
TOMAS MONTEVERDE,2021-07-01,CHILD ABUSE,10
BARANGAY 8-A,2021-07-01,THEFT,8
74-A MATINA CROSSING,2021-07-01,BURGLARY,3
TORIL,2021-07-01,HOMICIDE,21
DUMOY,2021-07-01,ILLEGAL POSSESSION OF FIREARMS,23
BARANGAY 32-D,2021-07-01,ILLEGAL GAMBLING,7
BARANGAY 37-D,2021-07-01,THEFT,8
BAO JOAQUIN,2021-07-01,THEFT,16
SUBASTA,2021-07-01,ROBBERY,4
DUMOY,2021-07-01,DRUG-RELATED,12
BARANGAY 18-B,2021-08-01,BURGLARY,23
CAWAYAN,2021-08-01,THEFT,21
DALIAO,2021-08-01,BURGLARY,12
BARANGAY 18-B,2021-08-01,DRUG-RELATED,15
74-A MATINA CROSSING,2021-08-01,THEFT,4
ANGALAN,2021-08-01,THEFT,18
COMMUNAL,2021-08-01,MURDER,6
TAGURANO,2021-08-01,CHILD ABUSE,16
SUAWAN,2021-08-01,CHILD ABUSE,12
INDANGAN,2021-08-01,THEFT,14
BARANGAY 23-C,2021-08-01,HOMICIDE,5
MALABOG,2021-08-01,VANDALISM,6
TALOMO,2021-08-01,RAPE,3
MANUEL GUIANGA,2021-08-01,BURGLARY,14
SALOY,2021-08-01,ROBBERY,7
AGDAO PROPER,2021-08-01,BURGLARY,17
TAGURANO,2021-08-01,MURDER,11
BARANGAY 37-D,2021-08-01,VANDALISM,8
BUNAWAN,2021-08-01,HOMICIDE,11
MAPI-ILA,2021-08-01,ILLEGAL POSSESSION OF FIREARMS,8
BARANGAY 14-B,2021-08-01,THEFT,18
WINES,2021-08-01,MURDER,8
BARANGAY 23-C,2021-08-01,ILLEGAL GAMBLING,8
BARANGAY 27-C,2021-08-01,VANDALISM,18
ALFONSO ANGLIONGTO SR,2021-08-01,ILLEGAL GAMBLING,21
MANUEL GUIANGA,2021-08-01,PHYSICAL INJURY,10
GUMITAN,2021-08-01,CHILD ABUSE,18
ACACIA,2021-08-01,CARNAPPING,12
TIBUNGCO,2021-08-01,MURDER,4
WINES,2021-08-01,PHYSICAL INJURY,19
SAN ISIDRO,2021-08-01,BURGLARY,13
ALAMBRE,2021-08-01,CARNAPPING,17
ULAS,2021-08-01,HOMICIDE,10
TALOMO,2021-08-01,ILLEGAL GAMBLING,6
WAAN,2021-08-01,ROBBERY,10
BARANGAY 5-A,2021-08-01,ILLEGAL POSSESSION OF FIREARMS,9
BARANGAY 11-A,2021-08-01,PHYSICAL INJURY,9
BALIOK,2021-08-01,CARNAPPING,19
MATINA APLAYA,2021-08-01,BURGLARY,4
INDANGAN,2021-08-01,MURDER,18
MAA,2021-08-01,CARNAPPING,9
MAGSAYSAY,2021-08-01,HOMICIDE,19
BARANGAY 2-A,2021-08-01,HOMICIDE,13
BARANGAY 18-B,2021-08-01,THEFT,11
LAMANAN,2021-08-01,ILLEGAL GAMBLING,5
TUGBOK,2021-08-01,CARNAPPING,22
INDANGAN,2021-08-01,PHYSICAL INJURY,19
BARANGAY 27-C,2021-08-01,DRUG-RELATED,19
MANUEL GUIANGA,2021-08-01,ILLEGAL GAMBLING,3
TUNGKALAN,2021-08-01,BURGLARY,23
DUMOY,2021-08-01,VANDALISM,19
MULIG,2021-08-01,THEFT,14
PANACAN,2021-08-01,CHILD ABUSE,11
CATALUNAN GRANDE,2021-08-01,HOMICIDE,7
BARANGAY 8-A,2021-08-01,BURGLARY,24
LAMANAN,2021-08-01,CARNAPPING,20
40-D BOLTON ISLA,2021-08-01,DRUG-RELATED,15
TIBULOY,2021-08-01,CHILD ABUSE,18
INDANGAN,2021-08-01,CHILD ABUSE,2
BINUGAO,2021-08-01,CHILD ABUSE,13
40-D BOLTON ISLA,2021-08-01,CARNAPPING,18
BARANGAY 5-A,2021-08-01,THEFT,12
LIZADA,2021-08-01,MURDER,16
COMMUNAL,2021-08-01,ROBBERY,2
TALOMO RIVER,2021-08-01,BURGLARY,22
PAQUIBATO,2021-08-01,ILLEGAL POSSESSION OF FIREARMS,10
76-A BUCANA,2021-08-01,CARNAPPING,13
TORIL,2021-08-01,PHYSICAL INJURY,10
LASANG,2021-08-01,CARNAPPING,23
MAPI-ILA,2021-08-01,THEFT,15
FATIMA,2021-09-01,RAPE,21
74-A MATINA CROSSING,2021-09-01,ROBBERY,7
MATINA PANGI,2021-09-01,BURGLARY,13
TORIL,2021-09-01,PHYSICAL INJURY,3
TALANDANG,2021-09-01,MURDER,4
BALIOK,2021-09-01,BURGLARY,8
CENTRO SAN JUAN,2021-09-01,CHILD ABUSE,16
BARANGAY 2-A,2021-09-01,DRUG-RELATED,2
MABUHAY,2021-09-01,ILLEGAL POSSESSION OF FIREARMS,13
CENTRO SAN JUAN,2021-09-01,ILLEGAL POSSESSION OF FIREARMS,22
TAGURANO,2021-09-01,ROBBERY,9
SALAYSAY,2021-09-01,RAPE,24
BARANGAY 38-D,2021-09-01,PHYSICAL INJURY,15
BARANGAY 22-C,2021-09-01,DRUG-RELATED,13
TAMAYONG,2021-09-01,CARNAPPING,12
MAPI-ILA,2021-09-01,MURDER,11
MATINA PANGI,2021-09-01,ILLEGAL GAMBLING,7
BAGO OSHIRO,2021-09-01,ILLEGAL GAMBLING,10
BUHANGIN,2021-09-01,DRUG-RELATED,19
PAQUIBATO,2021-09-01,DRUG-RELATED,17
PAMPANGA,2021-09-01,HOMICIDE,7
COMMUNAL,2021-09-01,HOMICIDE,17
BARANGAY 2-A,2021-09-01,CHILD ABUSE,4
MARAPANGI,2021-09-01,HOMICIDE,8
SIRIB,2021-09-01,MURDER,16
CABANTIAN,2021-09-01,ROBBERY,23
CATALUNAN PEQUENO,2021-09-01,RAPE,9
GUMALANG,2021-09-01,MURDER,9
TIBULOY,2021-09-01,VANDALISM,17
BARANGAY 3-A,2021-09-01,ILLEGAL POSSESSION OF FIREARMS,14
MAPI-ILA,2021-09-01,BURGLARY,13
SUAWAN,2021-09-01,CHILD ABUSE,16
ANGALAN,2021-09-01,DRUG-RELATED,11
BARANGAY 27-C,2021-09-01,PHYSICAL INJURY,7
BARANGAY 17-B,2021-09-01,MURDER,9
BARANGAY 13-B,2021-09-01,PHYSICAL INJURY,13
PAMPANGA,2021-09-01,PHYSICAL INJURY,16
LAMANAN,2021-09-01,THEFT,3
BARANGAY 19-B,2021-09-01,BURGLARY,6
74-A MATINA CROSSING,2021-09-01,CHILD ABUSE,16
PANALUM,2021-09-01,MURDER,12
ACACIA,2021-09-01,THEFT,12
BUHANGIN,2021-09-01,THEFT,20
VICENTE HIZON,2021-09-01,CARNAPPING,9
BARANGAY 22-C,2021-09-01,ILLEGAL GAMBLING,6
MAPI-ILA,2021-09-01,BURGLARY,24
PANACAN,2021-09-01,VANDALISM,2
MANUEL GUIANGA,2021-09-01,RAPE,23
PAMPANGA,2021-09-01,CARNAPPING,1
WANGAN,2021-09-01,ILLEGAL POSSESSION OF FIREARMS,21
SALAPAWAN,2021-09-01,ILLEGAL POSSESSION OF FIREARMS,11
TIBUNGCO,2021-09-01,PHYSICAL INJURY,2
BUNAWAN,2021-09-01,THEFT,6
LUBOGAN,2021-09-01,ROBBERY,2
TALOMO RIVER,2021-09-01,MURDER,5
BAGO OSHIRO,2021-09-01,PHYSICAL INJURY,19
CABANTIAN,2021-09-01,THEFT,3
TUGBOK,2021-09-01,ROBBERY,17
TUGBOK,2021-09-01,MURDER,8
BAGO APLAYA,2021-09-01,HOMICIDE,8
PANACAN,2021-09-01,MURDER,6
BARANGAY 8-A,2021-09-01,RAPE,2
MAGSAYSAY,2021-09-01,ILLEGAL GAMBLING,9
COMMUNAL,2021-09-01,PHYSICAL INJURY,2
SAN ANTONIO,2021-09-01,CHILD ABUSE,9
BARANGAY 22-C,2021-09-01,ROBBERY,16
PAQUIBATO,2021-09-01,RAPE,8
LAPU-LAPU,2021-09-01,ILLEGAL POSSESSION OF FIREARMS,20
LIZADA,2021-09-01,BURGLARY,23
BARANGAY 28-C,2021-09-01,ILLEGAL POSSESSION OF FIREARMS,11
AGDAO PROPER,2021-10-01,HOMICIDE,20
BARANGAY 14-B,2021-10-01,PHYSICAL INJURY,9
VICENTE HIZON,2021-10-01,ROBBERY,12
TOMAS MONTEVERDE,2021-10-01,HOMICIDE,24
LUBOGAN,2021-10-01,CHILD ABUSE,20
MAGTUOD,2021-10-01,ROBBERY,23
BUDA,2021-10-01,VANDALISM,6
ALFONSO ANGLIONGTO SR,2021-10-01,RAPE,18
BUHANGIN,2021-10-01,VANDALISM,21
BARANGAY 26-C,2021-10-01,PHYSICAL INJURY,4
ACACIA,2021-10-01,CARNAPPING,11
TIBUNGCO,2021-10-01,ROBBERY,6
BAGO GALLERA,2021-10-01,DRUG-RELATED,8
BARANGAY 5-A,2021-10-01,CHILD ABUSE,24
WANGAN,2021-10-01,HOMICIDE,23
VICENTE HIZON,2021-10-01,CARNAPPING,9
PACIANO BANGOY,2021-10-01,HOMICIDE,9
TAGURANO,2021-10-01,HOMICIDE,17
CATIGAN,2021-10-01,ROBBERY,22
BAGO OSHIRO,2021-10-01,CHILD ABUSE,6
SUAWAN,2021-10-01,RAPE,11
COMMUNAL,2021-10-01,BURGLARY,21
TORIL,2021-10-01,ROBBERY,2
BINUGAO,2021-10-01,CHILD ABUSE,6
MARAPANGI,2021-10-01,RAPE,11
DALIAO,2021-10-01,RAPE,9
BARANGAY 17-B,2021-10-01,PHYSICAL INJURY,21
BARANGAY 8-A,2021-10-01,HOMICIDE,19
BAGANIHAN,2021-10-01,MURDER,12
MARILOG,2021-10-01,CARNAPPING,2
MANDUG,2021-10-01,RAPE,8
BUNAWAN,2021-10-01,PHYSICAL INJURY,6
BINUGAO,2021-10-01,VANDALISM,17
MARILOG,2021-10-01,CARNAPPING,2
PANACAN,2021-10-01,CHILD ABUSE,10
BARANGAY 17-B,2021-10-01,PHYSICAL INJURY,10
BARANGAY 19-B,2021-10-01,ILLEGAL GAMBLING,23
WANGAN,2021-10-01,ROBBERY,7
SALAYSAY,2021-10-01,CHILD ABUSE,12
SAN ISIDRO,2021-10-01,VANDALISM,12
BINUGAO,2021-10-01,BURGLARY,3
TAGURANO,2021-10-01,DRUG-RELATED,24
SALAYSAY,2021-10-01,RAPE,11
LAMANAN,2021-10-01,CHILD ABUSE,22
MAGTUOD,2021-10-01,ILLEGAL POSSESSION OF FIREARMS,12
BARANGAY 11-A,2021-10-01,HOMICIDE,23
MABUHAY,2021-10-01,ILLEGAL POSSESSION OF FIREARMS,18
SUAWAN,2021-10-01,RAPE,18
BAYABAS,2021-10-01,HOMICIDE,13
CABANTIAN,2021-10-01,CHILD ABUSE,16
TACUNAN,2021-10-01,DRUG-RELATED,23
EDEN,2021-10-01,CARNAPPING,7
CATALUNAN GRANDE,2021-10-01,CHILD ABUSE,2
76-A BUCANA,2021-10-01,ILLEGAL GAMBLING,7
MINTAL,2021-10-01,BURGLARY,7
LASANG,2021-10-01,MURDER,23
ANGALAN,2021-10-01,PHYSICAL INJURY,22
BAGO GALLERA,2021-10-01,VANDALISM,10
MALAGOS,2021-10-01,ILLEGAL POSSESSION OF FIREARMS,12
BARANGAY 14-B,2021-10-01,HOMICIDE,4
BARANGAY 11-A,2021-10-01,CARNAPPING,7
INDANGAN,2021-10-01,MURDER,1
MAA,2021-10-01,ILLEGAL POSSESSION OF FIREARMS,1
BARANGAY 20-B,2021-10-01,THEFT,4
BARANGAY 22-C,2021-10-01,HOMICIDE,11
BARANGAY 28-C,2021-10-01,VANDALISM,1
BAGANIHAN,2021-10-01,CARNAPPING,4
TOMAS MONTEVERDE,2021-10-01,VANDALISM,7
BARANGAY 38-D,2021-10-01,RAPE,13
CENTRO SAN JUAN,2021-10-01,PHYSICAL INJURY,4
ALAMBRE,2021-11-01,ILLEGAL POSSESSION OF FIREARMS,22
BANTOL,2021-11-01,ILLEGAL GAMBLING,24
AQUINO,2021-11-01,ROBBERY,20
PAMPANGA,2021-11-01,RAPE,18
PAMPANGA,2021-11-01,DRUG-RELATED,22
MULIG,2021-11-01,DRUG-RELATED,16
DUTERTE,2021-11-01,THEFT,10
MAGSAYSAY,2021-11-01,MURDER,6
BARANGAY 28-C,2021-11-01,DRUG-RELATED,4
TALOMO,2021-11-01,VANDALISM,17
76-A BUCANA,2021-11-01,ILLEGAL GAMBLING,2
BARANGAY 28-C,2021-11-01,ROBBERY,17
TALANDANG,2021-11-01,PHYSICAL INJURY,10
BARANGAY 14-B,2021-11-01,RAPE,24
ACACIA,2021-11-01,THEFT,16
NEW VALENCIA,2021-11-01,PHYSICAL INJURY,24
BUNAWAN,2021-11-01,HOMICIDE,15
CATALUNAN PEQUENO,2021-11-01,PHYSICAL INJURY,20
BARANGAY 13-B,2021-11-01,BURGLARY,7
BARANGAY 10-A,2021-11-01,CHILD ABUSE,14
BARANGAY 10-A,2021-11-01,THEFT,24
BARANGAY 2-A,2021-11-01,HOMICIDE,6
BUHANGIN,2021-11-01,THEFT,19
BARANGAY 9-A,2021-11-01,DRUG-RELATED,24
BALIOK,2021-11-01,ROBBERY,7
